aX,aY,aZ,gX,gY,gZ
-0.168,0.121,-1.058,4.333,-5.493,3.662

-0.225,0.130,-2.125,110.840,-50.049,-28.870
-0.215,0.030,-2.080,134.644,-71.899,-39.185
-0.177,-0.093,-2.047,159.607,-91.064,-47.180
-0.144,-0.213,-2.082,182.129,-104.675,-52.124
-0.106,-0.310,-2.198,201.782,-108.826,-52.185
-0.093,-0.361,-2.407,222.290,-95.642,-47.546
-0.098,-0.391,-2.736,244.934,-59.631,-36.865
-0.100,-0.440,-3.084,271.179,-10.803,-22.095
-0.078,-0.413,-3.250,315.002,36.743,-10.864
-0.085,-0.403,-3.132,377.502,70.496,-12.512
-0.150,-0.396,-2.738,436.890,83.923,-23.926
-0.228,-0.353,-2.258,475.708,80.078,-35.645
-0.283,-0.282,-1.796,491.455,62.622,-48.523
-0.315,-0.207,-1.392,489.685,34.668,-67.078
-0.290,-0.145,-1.089,480.347,3.845,-87.769
-0.235,-0.134,-0.870,470.154,-20.691,-108.826
-0.142,-0.151,-0.751,459.717,-31.250,-126.465
-0.031,-0.197,-0.757,446.411,-24.658,-135.559
0.115,-0.176,-0.823,435.181,-10.864,-135.010
0.201,-0.128,-0.914,431.152,-2.380,-129.944
0.224,-0.078,-0.992,432.068,-6.104,-125.732
0.185,-0.095,-0.971,438.232,-25.818,-127.563
0.112,-0.153,-0.787,455.811,-52.063,-141.602
0.054,-0.286,-0.466,470.947,-75.500,-162.903
0.010,-0.424,-0.119,475.647,-94.604,-182.007
-0.026,-0.592,0.199,466.736,-111.450,-194.641
-0.008,-0.715,0.431,447.205,-126.648,-197.388
-0.009,-0.796,0.582,420.349,-138.611,-190.857
0.027,-0.840,0.657,392.639,-143.677,-178.040
